fecha,lugar,nombre,item,cantidad,costounidad
07-12-16,usa,Malonna,I love you,2500,250
06-08-16,islandia,Juanetes,Te amo,6500,200
01-23-16,islas faroe,The Oscure,Soy emo,550,300
03-15-16,nepal,Carlos Calor,FRIO CAlor,2500,150
05-22-16,islas faroe,The Oscure,SOY HEMO,3500,150
11-12-16,nepal,,en lamontaña,,
05-05-16,australia,Maicol Jackson,Salvemos a los canguros,9500,150
04-18-16,usa,Malonna,i lov YU,8500,150
10/22/16,islandia,Juanetes,TEAMO,9400,
02-26-16,uruguay,Pablo Marmol,Líndo día,4500,300
9/18/16,islandia,juanetes,TE–AMO xx,16000,150
