fecha,lugar,nombre,item,cantidad,costounidad
10-2-24,LasLilas,starwars,cienciaficcion,240,5000
9/12/24,Central,Alien1,cienciaficcion,760,5200
6/18/24,Central,Extraterrestre,cienciaficcion,850,4200
07-12-24,norte,Enamorados,ROMANCE,656,6100
06-08-24,LasLilas,AmorLoco,ROMANZEC,932,6100
05-12-24,CIneNuevo,,AVENTURAS,,
05-05-24,Central,TuYYo,romance,490,7100
04-18-24,CineBarrio,PayasoLoco,terror,275,5500
03-15-24,CineNuevo,Perdidos,AVENTURAS,764,
02-16-24,Central,LasAventuras,aventuras,827,4200
01-23-24,CineNuevo,pesadillas,misterio,216,5200
