fecha,lugar,nombre,item,cantidad,costounidad
07-12-23,sur,Mercado Natural,uvas,5,800
06-08-23,centro,Merca Nuevo,uvas,3,800
03-23-23,centro,Feria Cariño,uvas,6,700
06-15-23,norte,Feria Cariño,MANZANA,5,650
08-22-23,sur,Tiendas Lastra,MANZAN,3,600
09-16-23,norte,,PLATANO,,
02-28-23,centro,Mercado Natural,manzanitas,9,900
05-06-23,sur,Mercado Natural,manzanitas,7,500
10/24/23,centro,Feria Libre,PLATANO,6,
11-11-23,centro,Mercado Pueblo,platano,8,600
9/19/23,centro,merca Nuevo,tinta,5,550
