,palabras
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,_
11,a
12,actualmente
13,acuerdo
14,adelante
15,ademas
16,además
17,adrede
18,afirmó
19,agregó
20,ahi
21,ahora
22,ahí
23,al
24,algo
25,alguna
26,algunas
27,alguno
28,algunos
29,algún
30,alli
31,allí
32,alrededor
33,ambos
34,ampleamos
35,antano
36,antaño
37,ante
38,anterior
39,antes
40,apenas
41,aproximadamente
42,aquel
43,aquella
44,aquellas
45,aquello
46,aquellos
47,aqui
48,aquél
49,aquélla
50,aquéllas
51,aquéllos
52,aquí
53,arriba
54,arribaabajo
55,aseguró
56,asi
57,así
58,atras
59,aun
60,aunque
61,ayer
62,añadió
63,aún
64,b
65,bajo
66,bastante
67,bien
68,breve
69,buen
70,buena
71,buenas
72,bueno
73,buenos
74,c
75,cada
76,casi
77,cerca
78,cierta
79,ciertas
80,cierto
81,ciertos
82,cinco
83,claro
84,comentó
85,como
86,con
87,conmigo
88,conocer
89,conseguimos
90,conseguir
91,considera
92,consideró
93,consigo
94,consigue
95,consiguen
96,consigues
97,contigo
98,contra
99,cosas
100,creo
101,cual
102,cuales
103,cualquier
104,cuando
105,cuanta
106,cuantas
107,cuanto
108,cuantos
109,cuatro
110,cuenta
111,cuál
112,cuáles
113,cuándo
114,cuánta
115,cuántas
116,cuánto
117,cuántos
118,cómo
119,d
120,da
121,dado
122,dan
123,dar
124,de
125,debajo
126,debe
127,deben
128,debido
129,decir
130,dejó
131,del
132,delante
133,demasiado
134,demás
135,dentro
136,deprisa
137,desde
138,despacio
139,despues
140,después
141,detras
142,detrás
143,dia
144,dias
145,dice
146,dicen
147,dicho
148,dieron
149,diferente
150,diferentes
151,dijeron
152,dijo
153,dio
154,donde
155,dos
156,durante
157,día
158,días
159,dónde
160,e
161,ejemplo
162,el
163,ella
164,ellas
165,ello
166,ellos
167,embargo
168,empleais
169,emplean
170,emplear
171,empleas
172,empleo
173,en
174,encima
175,encuentra
176,enfrente
177,enseguida
178,entonces
179,entre
180,era
181,erais
182,eramos
183,eran
184,eras
185,eres
186,es
187,esa
188,esas
189,ese
190,eso
191,esos
192,esta
193,estaba
194,estabais
195,estaban
196,estabas
197,estad
198,estada
199,estadas
200,estado
201,estados
202,estais
203,estamos
204,estan
205,estando
206,estar
207,estaremos
208,estará
209,estarán
210,estarás
211,estaré
212,estaréis
213,estaría
214,estaríais
215,estaríamos
216,estarían
217,estarías
218,estas
219,este
220,estemos
221,esto
222,estos
223,estoy
224,estuve
225,estuviera
226,estuvierais
227,estuvieran
228,estuvieras
229,estuvieron
230,estuviese
231,estuvieseis
232,estuviesen
233,estuvieses
234,estuvimos
235,estuviste
236,estuvisteis
237,estuviéramos
238,estuviésemos
239,estuvo
240,está
241,estábamos
242,estáis
243,están
244,estás
245,esté
246,estéis
247,estén
248,estés
249,ex
250,excepto
251,existe
252,existen
253,explicó
254,expresó
255,f
256,fin
257,final
258,fue
259,fuera
260,fuerais
261,fueran
262,fueras
263,fueron
264,fuese
265,fueseis
266,fuesen
267,fueses
268,fui
269,fuimos
270,fuiste
271,fuisteis
272,fuéramos
273,fuésemos
274,g
275,general
276,gran
277,grandes
278,gueno
279,h
280,ha
281,haber
282,habia
283,habida
284,habidas
285,habido
286,habidos
287,habiendo
288,habla
289,hablan
290,habremos
291,habrá
292,habrán
293,habrás
294,habré
295,habréis
296,habría
297,habríais
298,habríamos
299,habrían
300,habrías
301,habéis
302,había
303,habíais
304,habíamos
305,habían
306,habías
307,hace
308,haceis
309,hacemos
310,hacen
311,hacer
312,hacerlo
313,haces
314,hacia
315,haciendo
316,hago
317,han
318,has
319,hasta
320,hay
321,haya
322,hayamos
323,hayan
324,hayas
325,hayáis
326,he
327,hecho
328,hemos
329,hicieron
330,hizo
331,horas
332,hoy
333,hube
334,hubiera
335,hubierais
336,hubieran
337,hubieras
338,hubieron
339,hubiese
340,hubieseis
341,hubiesen
342,hubieses
343,hubimos
344,hubiste
345,hubisteis
346,hubiéramos
347,hubiésemos
348,hubo
349,i
350,igual
351,incluso
352,indicó
353,informo
354,informó
355,intenta
356,intentais
357,intentamos
358,intentan
359,intentar
360,intentas
361,intento
362,ir
363,j
364,junto
365,k
366,l
367,la
368,lado
369,largo
370,las
371,le
372,lejos
373,les
374,llegó
375,lleva
376,llevar
377,lo
378,los
379,luego
380,lugar
381,m
382,mal
383,manera
384,manifestó
385,mas
386,mayor
387,me
388,mediante
389,medio
390,mejor
391,mencionó
392,menos
393,menudo
394,mi
395,mia
396,mias
397,mientras
398,mio
399,mios
400,mis
401,misma
402,mismas
403,mismo
404,mismos
405,modo
406,momento
407,mucha
408,muchas
409,mucho
410,muchos
411,muy
412,más
413,mí
414,mía
415,mías
416,mío
417,míos
418,n
419,nada
420,nadie
421,ni
422,ninguna
423,ningunas
424,ninguno
425,ningunos
426,ningún
427,no
428,nos
429,nosotras
430,nosotros
431,nuestra
432,nuestras
433,nuestro
434,nuestros
435,nueva
436,nuevas
437,nuevo
438,nuevos
439,nunca
440,o
441,ocho
442,os
443,otra
444,otras
445,otro
446,otros
447,p
448,pais
449,para
450,parece
451,parte
452,partir
453,pasada
454,pasado
455,paìs
456,peor
457,pero
458,pesar
459,poca
460,pocas
461,poco
462,pocos
463,podeis
464,podemos
465,poder
466,podria
467,podriais
468,podriamos
469,podrian
470,podrias
471,podrá
472,podrán
473,podría
474,podrían
475,poner
476,por
477,por qué
478,porque
479,posible
480,primer
481,primera
482,primero
483,primeros
484,principalmente
485,pronto
486,propia
487,propias
488,propio
489,propios
490,proximo
491,próximo
492,próximos
493,pudo
494,pueda
495,puede
496,pueden
497,puedo
498,pues
499,q
500,qeu
501,que
502,quedó
503,queremos
504,quien
505,quienes
506,quiere
507,quiza
508,quizas
509,quizá
510,quizás
511,quién
512,quiénes
513,qué
514,r
515,raras
516,realizado
517,realizar
518,realizó
519,repente
520,respecto
521,s
522,sabe
523,sabeis
524,sabemos
525,saben
526,saber
527,sabes
528,sal
529,salvo
530,se
531,sea
532,seamos
533,sean
534,seas
535,segun
536,segunda
537,segundo
538,según
539,seis
540,ser
541,sera
542,seremos
543,será
544,serán
545,serás
546,seré
547,seréis
548,sería
549,seríais
550,seríamos
551,serían
552,serías
553,seáis
554,señaló
555,si
556,sido
557,siempre
558,siendo
559,siete
560,sigue
561,siguiente
562,sin
563,sino
564,sobre
565,sois
566,sola
567,solamente
568,solas
569,solo
570,solos
571,somos
572,son
573,soy
574,soyos
575,su
576,supuesto
577,sus
578,suya
579,suyas
580,suyo
581,suyos
582,sé
583,sí
584,sólo
585,t
586,tal
587,tambien
588,también
589,tampoco
590,tan
591,tanto
592,tarde
593,te
594,temprano
595,tendremos
596,tendrá
597,tendrán
598,tendrás
599,tendré
600,tendréis
601,tendría
602,tendríais
603,tendríamos
604,tendrían
605,tendrías
606,tened
607,teneis
608,tenemos
609,tener
610,tenga
611,tengamos
612,tengan
613,tengas
614,tengo
615,tengáis
616,tenida
617,tenidas
618,tenido
619,tenidos
620,teniendo
621,tenéis
622,tenía
623,teníais
624,teníamos
625,tenían
626,tenías
627,tercera
628,ti
629,tiempo
630,tiene
631,tienen
632,tienes
633,toda
634,todas
635,todavia
636,todavía
637,todo
638,todos
639,total
640,trabaja
641,trabajais
642,trabajamos
643,trabajan
644,trabajar
645,trabajas
646,trabajo
647,tras
648,trata
649,través
650,tres
651,tu
652,tus
653,tuve
654,tuviera
655,tuvierais
656,tuvieran
657,tuvieras
658,tuvieron
659,tuviese
660,tuvieseis
661,tuviesen
662,tuvieses
663,tuvimos
664,tuviste
665,tuvisteis
666,tuviéramos
667,tuviésemos
668,tuvo
669,tuya
670,tuyas
671,tuyo
672,tuyos
673,tú
674,u
675,ultimo
676,un
677,una
678,unas
679,uno
680,unos
681,usa
682,usais
683,usamos
684,usan
685,usar
686,usas
687,uso
688,usted
689,ustedes
690,v
691,va
692,vais
693,valor
694,vamos
695,van
696,varias
697,varios
698,vaya
699,veces
700,ver
701,verdad
702,verdadera
703,verdadero
704,vez
705,vosotras
706,vosotros
707,voy
708,vuestra
709,vuestras
710,vuestro
711,vuestros
712,w
713,x
714,y
715,ya
716,yo
717,z
718,él
719,éramos
720,ésa
721,ésas
722,ése
723,ésos
724,ésta
725,éstas
726,éste
727,éstos
728,última
729,últimas
730,último
731,últimos
732,aba
733,abe
734,nculos
735,ndolos
736,ne
737,nea
738,nero
739,ni
740,nica
741,abe
742,nicamente
743,nico
744,nin
745,niñoy
746,nos
747,músicosamateur
748,naturalprograma
